"","Entity","Year","Code","Fossil_Fuels","Renewables","Income_Group"
"58","Africa",1993,"",80.46844,6.0758667,
"59","Africa",1994,"",80.174225,5.958603,
"60","Africa",1995,"",79.77498,5.9614854,
"61","Africa",1996,"",79.70316,6.079956,
"62","Africa",1997,"",79.92283,6.1115522,
"63","Africa",1998,"",79.23553,6.318395,
"64","Africa",1999,"",79.01743,6.490369,
"65","Africa",2000,"",79.47992,6.8128176,
"66","Africa",2001,"",79.53467,7.0239744,
"67","Africa",2002,"",79.49312,7.235608,
"68","Africa",2003,"",80.64776,6.7313123,
"69","Africa",2004,"",80.67538,6.535212,
"70","Africa",2005,"",81.23228,6.6441298,
"71","Africa",2006,"",81.59339,6.7591224,
"72","Africa",2007,"",81.675766,6.67644,
"73","Africa",2008,"",81.42161,6.3756404,
"74","Africa",2009,"",80.88155,6.4545474,
"75","Africa",2010,"",80.70019,6.7359877,
"76","Africa",2011,"",80.80324,6.8191915,
"77","Africa",2012,"",81.318306,6.5544257,
"78","Africa",2013,"",80.86018,6.7026834,
"79","Africa",2014,"",80.308,6.997135,
"80","Africa",2015,"",80.41416,7.022668,
"81","Africa",2016,"",80.13272,6.932607,
"82","Africa",2017,"",79.49156,7.179438,
"83","Africa",2018,"",78.98623,7.598577,
"84","Africa",2019,"",77.82752,7.84052,
"85","Africa",2020,"",76.56576,8.819855,
"86","Africa",2021,"",76.00955,8.715219,
"87","Africa",2022,"",75.11209,8.9204855,
"88","Africa",2023,"",75.002716,9.215277,
"89","Africa (EI)",1985,"",77.89477,6.2178087,
"90","Africa (EI)",1986,"",76.861885,6.357194,
"91","Africa (EI)",1987,"",79.38894,5.8988004,
"92","Africa (EI)",1988,"",77.57349,6.009116,
"93","Africa (EI)",1989,"",77.446335,6.295899,
"94","Africa (EI)",1990,"",78.509735,6.2146626,
"95","Africa (EI)",1991,"",77.705894,6.5928745,
"96","Africa (EI)",1992,"",78.85432,6.2082686,
"97","Africa (EI)",1993,"",80.46844,6.0758667,
"98","Africa (EI)",1994,"",80.174225,5.958603,
"99","Africa (EI)",1995,"",79.77498,5.9614854,
"100","Africa (EI)",1996,"",79.70316,6.079956,
"101","Africa (EI)",1997,"",79.92283,6.1115522,
"102","Africa (EI)",1998,"",79.23553,6.318395,
"103","Africa (EI)",1999,"",79.01743,6.490369,
"104","Africa (EI)",2000,"",78.73993,6.8128176,
"105","Africa (EI)",2001,"",79.02085,7.0239744,
"106","Africa (EI)",2002,"",79.11555,7.235608,
"107","Africa (EI)",2003,"",80.05322,6.7313123,
"108","Africa (EI)",2004,"",80.039024,6.535212,
"109","Africa (EI)",2005,"",80.84432,6.6441298,
"110","Africa (EI)",2006,"",81.16808,6.7591224,
"111","Africa (EI)",2007,"",81.248375,6.67644,
"112","Africa (EI)",2008,"",81.09608,6.3756404,
"113","Africa (EI)",2009,"",80.75952,6.4545474,
"114","Africa (EI)",2010,"",80.48369,6.7359877,
"115","Africa (EI)",2011,"",80.51148,6.8191915,
"116","Africa (EI)",2012,"",81.28843,6.5544257,
"117","Africa (EI)",2013,"",80.68956,6.7026834,
"118","Africa (EI)",2014,"",79.9683,6.997135,
"119","Africa (EI)",2015,"",80.213165,7.022668,
"120","Africa (EI)",2016,"",79.7437,6.932607,
"121","Africa (EI)",2017,"",79.09782,7.179438,
"122","Africa (EI)",2018,"",78.53001,7.598577,
"123","Africa (EI)",2019,"",77.55767,7.84052,
"124","Africa (EI)",2020,"",75.98986,8.819855,
"125","Africa (EI)",2021,"",75.36773,8.715219,
"126","Africa (EI)",2022,"",75.04834,8.9204855,
"127","Africa (EI)",2023,"",74.34289,9.215277,
"128","Africa (EI)",2024,"",74.71399,9.354101,
"129","Africa (Ember)",2000,"",79.47992,,
"130","Africa (Ember)",2001,"",79.53467,,
"131","Africa (Ember)",2002,"",79.49312,,
"132","Africa (Ember)",2003,"",80.64775,,
"133","Africa (Ember)",2004,"",80.67538,,
"134","Africa (Ember)",2005,"",81.23228,,
"135","Africa (Ember)",2006,"",81.59339,,
"136","Africa (Ember)",2007,"",81.675766,,
"137","Africa (Ember)",2008,"",81.42161,,
"138","Africa (Ember)",2009,"",80.88155,,
"139","Africa (Ember)",2010,"",80.702774,,
"140","Africa (Ember)",2011,"",80.805756,,
"141","Africa (Ember)",2012,"",81.32062,,
"142","Africa (Ember)",2013,"",80.86252,,
"143","Africa (Ember)",2014,"",80.3103,,
"144","Africa (Ember)",2015,"",80.41639,,
"145","Africa (Ember)",2016,"",80.13494,,
"146","Africa (Ember)",2017,"",79.49379,,
"147","Africa (Ember)",2018,"",78.988434,,
"148","Africa (Ember)",2019,"",77.829796,,
"149","Africa (Ember)",2020,"",76.5682,,
"150","Africa (Ember)",2021,"",76.01193,,
"151","Africa (Ember)",2022,"",75.11451,,
"152","Africa (Ember)",2023,"",74.33496,,
"153","Africa (Ember)",2024,"",74.49021,,
"154","Albania",2000,"ALB",3.805497,,"Lower-middle-income countries"
"155","Albania",2001,"ALB",4.607046,,"Lower-middle-income countries"
"156","Albania",2002,"ALB",6.199461,,"Lower-middle-income countries"
"157","Albania",2003,"ALB",2.1032505,,"Lower-middle-income countries"
"158","Albania",2004,"ALB",2.5225224,,"Lower-middle-income countries"
"159","Albania",2005,"ALB",1.2987013,,"Lower-middle-income countries"
"160","Albania",2006,"ALB",1.7857144,,"Lower-middle-income countries"
"161","Albania",2007,"ALB",2.4734983,,"Lower-middle-income countries"
"162","Albania",2008,"ALB",0,,"Lower-middle-income countries"
"163","Albania",2009,"ALB",0,,"Upper-middle-income countries"
"164","Albania",2010,"ALB",0,,"Upper-middle-income countries"
"165","Albania",2011,"ALB",1.4319808,,"Lower-middle-income countries"
"166","Albania",2012,"ALB",0,,"Upper-middle-income countries"
"167","Albania",2013,"ALB",0,,"Upper-middle-income countries"
"168","Albania",2014,"ALB",0,,"Upper-middle-income countries"
"169","Albania",2015,"ALB",0,,"Upper-middle-income countries"
"170","Albania",2016,"ALB",0,,"Upper-middle-income countries"
"171","Albania",2017,"ALB",0,,"Upper-middle-income countries"
"172","Albania",2018,"ALB",0,,"Upper-middle-income countries"
"173","Albania",2019,"ALB",0,,"Upper-middle-income countries"
"174","Albania",2020,"ALB",0,,"Upper-middle-income countries"
"175","Albania",2021,"ALB",0,,"Upper-middle-income countries"
"176","Albania",2022,"ALB",0,,"Upper-middle-income countries"
"177","Albania",2023,"ALB",0,,"Upper-middle-income countries"
"178","Algeria",2000,"DZA",99.803154,0.05001067,"Lower-middle-income countries"
"179","Algeria",2001,"DZA",99.73703,0.061327934,"Lower-middle-income countries"
"180","Algeria",2002,"DZA",99.783005,0.048507243,"Lower-middle-income countries"
"181","Algeria",2003,"DZA",99.12073,0.2143434,"Lower-middle-income countries"
"182","Algeria",2004,"DZA",99.2,0.19449507,"Lower-middle-income countries"
"183","Algeria",2005,"DZA",98.37806,0.40765893,"Lower-middle-income countries"
"184","Algeria",2006,"DZA",99.37553,0.15344006,"Lower-middle-income countries"
"185","Algeria",2007,"DZA",99.40845,0.1504157,"Lower-middle-income countries"
"186","Algeria",2008,"DZA",99.30401,0.17631334,"Upper-middle-income countries"
"187","Algeria",2009,"DZA",99.22078,0.20000759,"Upper-middle-income countries"
"188","Algeria",2010,"DZA",99.62826,0.10803143,"Upper-middle-income countries"
"189","Algeria",2011,"DZA",99.02382,0.22096606,"Upper-middle-income countries"
"190","Algeria",2012,"DZA",98.91985,0.21108034,"Upper-middle-income countries"
"191","Algeria",2013,"DZA",99.44899,0.060776502,"Upper-middle-income countries"
"192","Algeria",2014,"DZA",99.611015,0.110372595,"Upper-middle-income countries"
"193","Algeria",2015,"DZA",99.68043,0.09101885,"Upper-middle-income countries"
"194","Algeria",2016,"DZA",99.52139,0.13686113,"Upper-middle-income countries"
"195","Algeria",2017,"DZA",99.15867,0.23208226,"Upper-middle-income countries"
"196","Algeria",2018,"DZA",98.931595,0.27123353,"Upper-middle-income countries"
"197","Algeria",2019,"DZA",98.93395,0.27703846,"Lower-middle-income countries"
"198","Algeria",2020,"DZA",98.891266,0.2825046,"Lower-middle-income countries"
"199","Algeria",2021,"DZA",99.05374,0.23804712,"Lower-middle-income countries"
"200","Algeria",2022,"DZA",99.0598,0.22791375,"Lower-middle-income countries"
"201","Algeria",2023,"DZA",99.05503,0.22667149,"Upper-middle-income countries"
"202","American Samoa",2000,"ASM",100,,"Upper-middle-income countries"
"203","American Samoa",2001,"ASM",100,,"Upper-middle-income countries"
"204","American Samoa",2002,"ASM",100,,"Upper-middle-income countries"
"205","American Samoa",2003,"ASM",100,,"Upper-middle-income countries"
"206","American Samoa",2004,"ASM",100,,"Upper-middle-income countries"
"207","American Samoa",2005,"ASM",100,,"Upper-middle-income countries"
"208","American Samoa",2006,"ASM",100,,"Upper-middle-income countries"
"209","American Samoa",2007,"ASM",100,,"Upper-middle-income countries"
"210","American Samoa",2008,"ASM",100,,"Upper-middle-income countries"
"211","American Samoa",2009,"ASM",100,,"Upper-middle-income countries"
"212","American Samoa",2010,"ASM",100,,"Upper-middle-income countries"
"213","American Samoa",2011,"ASM",100,,"Upper-middle-income countries"
"214","American Samoa",2012,"ASM",100,,"Upper-middle-income countries"
"215","American Samoa",2013,"ASM",100,,"Upper-middle-income countries"
"216","American Samoa",2014,"ASM",100,,"Upper-middle-income countries"
"217","American Samoa",2015,"ASM",100,,"Upper-middle-income countries"
"218","American Samoa",2016,"ASM",100,,"Upper-middle-income countries"
"219","American Samoa",2017,"ASM",100,,"Upper-middle-income countries"
"220","American Samoa",2018,"ASM",100,,"Upper-middle-income countries"
"221","American Samoa",2019,"ASM",100,,"Upper-middle-income countries"
"222","American Samoa",2020,"ASM",100,,"Upper-middle-income countries"
"223","American Samoa",2021,"ASM",100,,"Upper-middle-income countries"
"224","American Samoa",2022,"ASM",94.44444,,"High-income countries"
"225","American Samoa",2023,"ASM",100,,"High-income countries"
"226","Angola",2000,"AGO",36.805553,,"Low-income countries"
"227","Angola",2001,"AGO",37.80488,,"Low-income countries"
"228","Angola",2002,"AGO",35.227272,,"Low-income countries"
"229","Angola",2003,"AGO",37.688442,,"Low-income countries"
"230","Angola",2004,"AGO",21.875,,"Lower-middle-income countries"
"231","Angola",2005,"AGO",15.589353,,"Lower-middle-income countries"
"232","Angola",2006,"AGO",14.7651005,,"Lower-middle-income countries"
"233","Angola",2007,"AGO",23.148148,,"Lower-middle-income countries"
"234","Angola",2008,"AGO",22.222221,,"Lower-middle-income countries"
"235","Angola",2009,"AGO",33.401222,,"Lower-middle-income countries"
"236","Angola",2010,"AGO",32.05128,,"Lower-middle-income countries"
"237","Angola",2011,"AGO",28.975266,,"Upper-middle-income countries"
"238","Angola",2012,"AGO",29.015545,,"Upper-middle-income countries"
"239","Angola",2013,"AGO",41.963192,,"Upper-middle-income countries"
"240","Angola",2014,"AGO",47.17573,,"Upper-middle-income countries"
"241","Angola",2015,"AGO",45.398773,,"Upper-middle-income countries"
"242","Angola",2016,"AGO",41.438984,,"Lower-middle-income countries"
"243","Angola",2017,"AGO",28.584642,,"Lower-middle-income countries"
"244","Angola",2018,"AGO",20.547945,,"Lower-middle-income countries"
"245","Angola",2019,"AGO",26.801516,,"Lower-middle-income countries"
"246","Angola",2020,"AGO",24.390244,,"Lower-middle-income countries"
"247","Angola",2021,"AGO",24.56973,,"Lower-middle-income countries"
"248","Angola",2022,"AGO",24.436743,,"Lower-middle-income countries"
"249","Angola",2023,"AGO",23.578594,,"Lower-middle-income countries"
"250","Antigua and Barbuda",2000,"ATG",100,,"Upper-middle-income countries"
"251","Antigua and Barbuda",2001,"ATG",100,,"Upper-middle-income countries"
"252","Antigua and Barbuda",2002,"ATG",100,,"High-income countries"
"253","Antigua and Barbuda",2003,"ATG",100,,"Upper-middle-income countries"
"254","Antigua and Barbuda",2004,"ATG",100,,"Upper-middle-income countries"
"255","Antigua and Barbuda",2005,"ATG",100,,"High-income countries"
"256","Antigua and Barbuda",2006,"ATG",100,,"High-income countries"
"257","Antigua and Barbuda",2007,"ATG",100,,"High-income countries"
"258","Antigua and Barbuda",2008,"ATG",100,,"High-income countries"
"259","Antigua and Barbuda",2009,"ATG",100,,"Upper-middle-income countries"
"260","Antigua and Barbuda",2010,"ATG",100,,"Upper-middle-income countries"
"261","Antigua and Barbuda",2011,"ATG",100,,"Upper-middle-income countries"
"262","Antigua and Barbuda",2012,"ATG",100,,"High-income countries"
"263","Antigua and Barbuda",2013,"ATG",100,,"High-income countries"
"264","Antigua and Barbuda",2014,"ATG",100,,"High-income countries"
"265","Antigua and Barbuda",2015,"ATG",97.14286,,"High-income countries"
"266","Antigua and Barbuda",2016,"ATG",100,,"High-income countries"
"267","Antigua and Barbuda",2017,"ATG",97.14286,,"High-income countries"
"268","Antigua and Barbuda",2018,"ATG",97.22221,,"High-income countries"
"269","Antigua and Barbuda",2019,"ATG",97.22221,,"High-income countries"
"270","Antigua and Barbuda",2020,"ATG",94.28572,,"High-income countries"
"271","Antigua and Barbuda",2021,"ATG",94.28572,,"High-income countries"
"272","Antigua and Barbuda",2022,"ATG",94.44444,,"High-income countries"
"273","Antigua and Barbuda",2023,"ATG",94.44444,,"High-income countries"
"274","Argentina",1985,"ARG",41.419544,11.97929,
"275","Argentina",1986,"ARG",45.197807,11.6309395,
"276","Argentina",1987,"ARG",45.345196,11.583315,"Upper-middle-income countries"
"277","Argentina",1988,"ARG",59.597527,7.94562,"Upper-middle-income countries"
"278","Argentina",1989,"ARG",63.709454,7.115889,"Lower-middle-income countries"
"279","Argentina",1990,"ARG",49.90442,9.72907,"Lower-middle-income countries"
"280","Argentina",1991,"ARG",54.799755,8.570026,"Upper-middle-income countries"
"281","Argentina",1992,"ARG",52.20377,9.639757,"Upper-middle-income countries"
"282","Argentina",1993,"ARG",48.275524,11.552494,"Upper-middle-income countries"
"283","Argentina",1994,"ARG",45.143917,12.563101,"Upper-middle-income countries"
"284","Argentina",1995,"ARG",49.120033,11.829992,"Upper-middle-income countries"
"285","Argentina",1996,"ARG",56.030098,9.646128,"Upper-middle-income countries"
"286","Argentina",1997,"ARG",49.8554,11.7813425,"Upper-middle-income countries"
"287","Argentina",1998,"ARG",53.7695,10.780106,"Upper-middle-income countries"
"288","Argentina",1999,"ARG",63.99072,8.606011,"Upper-middle-income countries"
"289","Argentina",2000,"ARG",60.463024,11.556684,"Upper-middle-income countries"
"290","Argentina",2001,"ARG",51.131573,15.036309,"Upper-middle-income countries"
"291","Argentina",2002,"ARG",50.11231,15.334841,"Upper-middle-income countries"
"292","Argentina",2003,"ARG",54.024113,13.613283,"Upper-middle-income countries"
"293","Argentina",2004,"ARG",60.831837,11.464811,"Upper-middle-income countries"
"294","Argentina",2005,"ARG",60.208035,12.031582,"Upper-middle-income countries"
"295","Argentina",2006,"ARG",58.68818,12.677819,"Upper-middle-income countries"
"296","Argentina",2007,"ARG",65.11628,10.023992,"Upper-middle-income countries"
"297","Argentina",2008,"ARG",67.32015,9.871803,"Upper-middle-income countries"
"298","Argentina",2009,"ARG",64.00425,11.193401,"Upper-middle-income countries"
"299","Argentina",2010,"ARG",66.68253,11.091996,"Upper-middle-income countries"
"300","Argentina",2011,"ARG",69.87412,10.412118,"Upper-middle-income countries"
"301","Argentina",2012,"ARG",72.51139,9.701297,"Upper-middle-income countries"
"302","Argentina",2013,"ARG",70.61313,10.134094,"Upper-middle-income countries"
"303","Argentina",2014,"ARG",71.091385,10.396154,"High-income countries"
"304","Argentina",2015,"ARG",71.4826,10.275299,"Upper-middle-income countries"
"305","Argentina",2016,"ARG",72.97867,9.586403,"Upper-middle-income countries"
"306","Argentina",2017,"ARG",72.68731,10.4453335,"High-income countries"
"307","Argentina",2018,"ARG",71.32443,10.823792,"Upper-middle-income countries"
"308","Argentina",2019,"ARG",69.02458,11.416995,"Upper-middle-income countries"
"309","Argentina",2020,"ARG",67.76134,11.833357,"Upper-middle-income countries"
"310","Argentina",2021,"ARG",69.17402,10.9474535,"Upper-middle-income countries"
"311","Argentina",2022,"ARG",65.876945,12.009511,"Upper-middle-income countries"
"312","Argentina",2023,"ARG",59.782833,14.100092,"Upper-middle-income countries"
"313","Argentina",2024,"ARG",61.102055,14.8029785,"Upper-middle-income countries"
"314","Armenia",2000,"ARM",46.53979,,"Low-income countries"
"315","Armenia",2001,"ARM",48.606274,,"Low-income countries"
"316","Armenia",2002,"ARM",29.75518,,"Lower-middle-income countries"
"317","Armenia",2003,"ARM",28.679243,,"Lower-middle-income countries"
"318","Armenia",2004,"ARM",27.806564,,"Lower-middle-income countries"
"319","Armenia",2005,"ARM",30.098686,,"Lower-middle-income countries"
"320","Armenia",2006,"ARM",25.91944,,"Lower-middle-income countries"
"321","Armenia",2007,"ARM",26.27866,,"Lower-middle-income countries"
"322","Armenia",2008,"ARM",31.355932,,"Lower-middle-income countries"
"323","Armenia",2009,"ARM",21.139706,,"Lower-middle-income countries"
"324","Armenia",2010,"ARM",22.966509,,"Lower-middle-income countries"
"325","Armenia",2011,"ARM",33.148407,,"Lower-middle-income countries"
"326","Armenia",2012,"ARM",43.47826,,"Lower-middle-income countries"
"327","Armenia",2013,"ARM",42.3231,,"Lower-middle-income countries"
"328","Armenia",2014,"ARM",43.6919,,"Lower-middle-income countries"
"329","Armenia",2015,"ARM",37.08609,,"Lower-middle-income countries"
"330","Armenia",2016,"ARM",36.338028,,"Lower-middle-income countries"
"331","Armenia",2017,"ARM",38.11421,,"Upper-middle-income countries"
"332","Armenia",2018,"ARM",44.53228,,"Upper-middle-income countries"
"333","Armenia",2019,"ARM",40.720963,,"Upper-middle-income countries"
"334","Armenia",2020,"ARM",41.49215,,"Upper-middle-income countries"
"335","Armenia",2021,"ARM",43.782387,,"Upper-middle-income countries"
"336","Armenia",2022,"ARM",39.271255,,"Upper-middle-income countries"
"337","Armenia",2023,"ARM",43.005783,,"Upper-middle-income countries"
"338","Armenia",2024,"ARM",39.819004,,"Upper-middle-income countries"
"339","Aruba",2000,"ABW",100,,"High-income countries"
"340","Aruba",2001,"ABW",100,,"High-income countries"
"341","Aruba",2002,"ABW",100,,"High-income countries"
"342","Aruba",2003,"ABW",100,,"High-income countries"
"343","Aruba",2004,"ABW",100,,"High-income countries"
"344","Aruba",2005,"ABW",100,,"High-income countries"
"345","Aruba",2006,"ABW",100,,"High-income countries"
"346","Aruba",2007,"ABW",100,,"High-income countries"
"347","Aruba",2008,"ABW",100,,"High-income countries"
"348","Aruba",2009,"ABW",96.84211,,"High-income countries"
"349","Aruba",2010,"ABW",88.297874,,"High-income countries"
"350","Aruba",2011,"ABW",88.17204,,"High-income countries"
"351","Aruba",2012,"ABW",84.7826,,"High-income countries"
"352","Aruba",2013,"ABW",84.04256,,"High-income countries"
"353","Aruba",2014,"ABW",82.97872,,"High-income countries"
"354","Aruba",2015,"ABW",81.4433,,"High-income countries"
"355","Aruba",2016,"ABW",85.106384,,"High-income countries"
"356","Aruba",2017,"ABW",85.56701,,"High-income countries"
"357","Aruba",2018,"ABW",83.50515,,"High-income countries"
"358","Aruba",2019,"ABW",82.82828,,"High-income countries"
"359","Aruba",2020,"ABW",82.82828,,"High-income countries"
"360","Aruba",2021,"ABW",83,,"High-income countries"
"361","Aruba",2022,"ABW",83,,"High-income countries"
"362","Asia",1985,"",72.925644,5.068473,
"363","Asia",1986,"",73.579765,4.9153004,
"364","Asia",1987,"",73.266815,4.789855,
"365","Asia",1988,"",73.5026,5.1354856,
"366","Asia",1989,"",74.39635,5.0364676,
"367","Asia",1990,"",74.78831,5.0518737,
"368","Asia",1991,"",75.131386,4.9086103,
"369","Asia",1992,"",76.13662,4.7349057,
"370","Asia",1993,"",74.4587,5.0243816,
"371","Asia",1994,"",75.55658,4.7801275,
"372","Asia",1995,"",74.61594,4.989715,
"373","Asia",1996,"",75.32398,4.75086,
"374","Asia",1997,"",75.79867,4.6363955,
"375","Asia",1998,"",75.23551,4.9079843,
"376","Asia",1999,"",76.583595,4.6748323,
"377","Asia",2000,"",76.84651,4.6494074,
"378","Asia",2001,"",76.73664,4.8165894,
"379","Asia",2002,"",77.42802,4.7241597,
"380","Asia",2003,"",79.42042,4.547672,
"381","Asia",2004,"",78.122345,4.8382006,
"382","Asia",2005,"",78.6001,4.662669,
"383","Asia",2006,"",78.77207,4.8525996,
"384","Asia",2007,"",80.04633,4.825958,
"385","Asia",2008,"",79.19293,5.314891,
"386","Asia",2009,"",79.576706,5.1766567,
"387","Asia",2010,"",78.92227,5.6266966,
"388","Asia",2011,"",80.8128,5.561722,
"389","Asia",2012,"",80.81584,6.123732,
"390","Asia",2013,"",80.40504,6.5937834,
"391","Asia",2014,"",79.39708,7.1452227,
"392","Asia",2015,"",77.965576,7.460905,
"393","Asia",2016,"",77.14936,7.9438753,
"394","Asia",2017,"",76.51918,8.361931,
"395","Asia",2018,"",75.71729,8.861806,
"396","Asia",2019,"",73.82733,9.469624,
"397","Asia",2020,"",72.62914,10.196916,
"398","Asia",2021,"",71.95945,10.664015,
"399","Asia",2022,"",70.5144,11.3970175,
"400","Asia",2023,"",70.23834,11.639132,
"401","Asia (Ember)",2000,"",74.43543,,
"402","Asia (Ember)",2001,"",74.13689,,
"403","Asia (Ember)",2002,"",75.1604,,
"404","Asia (Ember)",2003,"",77.47688,,
"405","Asia (Ember)",2004,"",76.27434,,
"406","Asia (Ember)",2005,"",76.7314,,
"407","Asia (Ember)",2006,"",77.012215,,
"408","Asia (Ember)",2007,"",78.27738,,
"409","Asia (Ember)",2008,"",77.062874,,
"410","Asia (Ember)",2009,"",77.49536,,
"411","Asia (Ember)",2010,"",76.96987,,
"412","Asia (Ember)",2011,"",79.17465,,
"413","Asia (Ember)",2012,"",79.270195,,
"414","Asia (Ember)",2013,"",78.91866,,
"415","Asia (Ember)",2014,"",77.50069,,
"416","Asia (Ember)",2015,"",76.04373,,
"417","Asia (Ember)",2016,"",75.2527,,
"418","Asia (Ember)",2017,"",74.43359,,
"419","Asia (Ember)",2018,"",73.67735,,
"420","Asia (Ember)",2019,"",72.06128,,
"421","Asia (Ember)",2020,"",70.63536,,
"422","Asia (Ember)",2021,"",69.79671,,
"423","Asia (Ember)",2022,"",68.46154,,
"424","Asia (Ember)",2023,"",68.19605,,
"425","Asia (Ember)",2024,"",66.05339,,
"426","Asia Pacific (EI)",1985,"",67.44571,5.8585114,
"427","Asia Pacific (EI)",1986,"",67.569855,5.7805715,
"428","Asia Pacific (EI)",1987,"",68.06083,5.426447,
"429","Asia Pacific (EI)",1988,"",69.35225,5.599741,
"430","Asia Pacific (EI)",1989,"",69.642166,5.714998,
"431","Asia Pacific (EI)",1990,"",70.75552,5.5978065,
"432","Asia Pacific (EI)",1991,"",71.36881,5.485459,
"433","Asia Pacific (EI)",1992,"",72.909325,5.140153,
"434","Asia Pacific (EI)",1993,"",71.559235,5.321518,
"435","Asia Pacific (EI)",1994,"",72.9237,5.1249,
"436","Asia Pacific (EI)",1995,"",72.14509,5.3663697,
"437","Asia Pacific (EI)",1996,"",73.18262,5.02817,
"438","Asia Pacific (EI)",1997,"",73.429375,4.9460554,
"439","Asia Pacific (EI)",1998,"",72.84274,5.2754397,
"440","Asia Pacific (EI)",1999,"",74.0277,5.0724454,
"441","Asia Pacific (EI)",2000,"",74.57685,5.110704,
"442","Asia Pacific (EI)",2001,"",74.38695,5.3577056,
"443","Asia Pacific (EI)",2002,"",75.3997,5.1713486,
"444","Asia Pacific (EI)",2003,"",77.767944,4.9028373,
"445","Asia Pacific (EI)",2004,"",76.40673,5.2052226,
"446","Asia Pacific (EI)",2005,"",76.99363,5.04304,
"447","Asia Pacific (EI)",2006,"",77.17288,5.251553,
"448","Asia Pacific (EI)",2007,"",78.40242,5.2841787,
"449","Asia Pacific (EI)",2008,"",77.241295,6.002861,
"450","Asia Pacific (EI)",2009,"",77.65218,5.843994,
"451","Asia Pacific (EI)",2010,"",76.9154,6.2801642,
"452","Asia Pacific (EI)",2011,"",78.902084,6.255693,
"453","Asia Pacific (EI)",2012,"",79.27525,6.889021,
"454","Asia Pacific (EI)",2013,"",78.607635,7.4414215,
"455","Asia Pacific (EI)",2014,"",77.184875,8.202232,
"456","Asia Pacific (EI)",2015,"",75.80683,8.490678,
"457","Asia Pacific (EI)",2016,"",74.40146,9.073095,
"458","Asia Pacific (EI)",2017,"",73.61982,9.544332,
"459","Asia Pacific (EI)",2018,"",72.755,10.123153,
"460","Asia Pacific (EI)",2019,"",71.2192,10.596511,
