"","Entity","Code","Year","Fossil_Fuels","Renewables","Income_Group","Net_Zero_Targets"
"281","Azerbaijan","AZE",2024,88.042366,11.957636,"Upper-middle-income countries","In policy document"
"282","Bahamas","BHS",2000,100,0,"High-income countries","Proposed / in discussion"
"283","Bahamas","BHS",2001,100,0,"High-income countries","Proposed / in discussion"
"284","Bahamas","BHS",2002,100,0,"High-income countries","Proposed / in discussion"
"285","Bahamas","BHS",2003,100,0,"High-income countries","Proposed / in discussion"
"286","Bahamas","BHS",2004,100,0,"High-income countries","Proposed / in discussion"
"287","Bahamas","BHS",2005,100,0,"High-income countries","Proposed / in discussion"
"288","Bahamas","BHS",2006,100,0,"High-income countries","Proposed / in discussion"
"289","Bahamas","BHS",2007,100,0,"High-income countries","Proposed / in discussion"
"290","Bahamas","BHS",2008,100,0,"High-income countries","Proposed / in discussion"
"291","Bahamas","BHS",2009,100,0,"High-income countries","Proposed / in discussion"
"292","Bahamas","BHS",2010,100,0,"High-income countries","Proposed / in discussion"
"293","Bahamas","BHS",2011,100,0,"High-income countries","Proposed / in discussion"
"294","Bahamas","BHS",2012,100,0,"High-income countries","Proposed / in discussion"
"295","Bahamas","BHS",2013,100,0,"High-income countries","Proposed / in discussion"
"296","Bahamas","BHS",2014,100,0,"High-income countries","Proposed / in discussion"
"297","Bahamas","BHS",2015,100,0,"High-income countries","Proposed / in discussion"
"298","Bahamas","BHS",2016,100,0,"High-income countries","Proposed / in discussion"
"299","Bahamas","BHS",2017,100,0,"High-income countries","Proposed / in discussion"
"300","Bahamas","BHS",2018,100,0,"High-income countries","Proposed / in discussion"
"301","Bahamas","BHS",2019,100,0,"High-income countries","Proposed / in discussion"
"302","Bahamas","BHS",2020,99.50739,0.49261084,"High-income countries","Proposed / in discussion"
"303","Bahamas","BHS",2021,99.5098,0.49019608,"High-income countries","Proposed / in discussion"
"304","Bahamas","BHS",2022,99.02439,0.9756098,"High-income countries","Proposed / in discussion"
"305","Bahrain","BHR",2000,100,0,"Upper-middle-income countries","Declaration / pledge"
"306","Bahrain","BHR",2001,100,0,"High-income countries","Declaration / pledge"
"307","Bahrain","BHR",2002,100,0,"High-income countries","Declaration / pledge"
"308","Bahrain","BHR",2003,100,0,"High-income countries","Declaration / pledge"
"309","Bahrain","BHR",2004,100,0,"High-income countries","Declaration / pledge"
"310","Bahrain","BHR",2005,100,0,"High-income countries","Declaration / pledge"
"311","Bahrain","BHR",2006,100,0,"High-income countries","Declaration / pledge"
"312","Bahrain","BHR",2007,100,0,"High-income countries","Declaration / pledge"
"313","Bahrain","BHR",2008,100,0,"High-income countries","Declaration / pledge"
"314","Bahrain","BHR",2009,100,0,"High-income countries","Declaration / pledge"
"315","Bahrain","BHR",2010,100,0,"High-income countries","Declaration / pledge"
"316","Bahrain","BHR",2011,100,0,"High-income countries","Declaration / pledge"
"317","Bahrain","BHR",2012,100,0,"High-income countries","Declaration / pledge"
"318","Bahrain","BHR",2013,100,0,"High-income countries","Declaration / pledge"
"319","Bahrain","BHR",2014,99.96332,0.036683783,"High-income countries","Declaration / pledge"
"320","Bahrain","BHR",2015,99.9649,0.035100035,"High-income countries","Declaration / pledge"
"321","Bahrain","BHR",2016,99.964935,0.035063114,"High-income countries","Declaration / pledge"
"322","Bahrain","BHR",2017,99.96579,0.034211427,"High-income countries","Declaration / pledge"
"323","Bahrain","BHR",2018,99.96616,0.033840947,"High-income countries","Declaration / pledge"
"324","Bahrain","BHR",2019,99.93959,0.06040471,"High-income countries","Declaration / pledge"
"325","Bahrain","BHR",2020,99.94008,0.059916113,"High-income countries","Declaration / pledge"
"326","Bahrain","BHR",2021,99.882034,0.117959306,"High-income countries","Declaration / pledge"
"327","Bahrain","BHR",2022,99.77578,0.22421524,"High-income countries","Declaration / pledge"
"328","Bahrain","BHR",2023,99.75118,0.24882501,"High-income countries","Declaration / pledge"
"329","Bangladesh","BGD",2000,94.10289,5.8971143,"Low-income countries","Proposed / in discussion"
"330","Bangladesh","BGD",2001,94.361336,5.6386657,"Low-income countries","Proposed / in discussion"
"331","Bangladesh","BGD",2002,94.4591,5.5408964,"Low-income countries","Proposed / in discussion"
"332","Bangladesh","BGD",2003,94.41954,5.5804687,"Low-income countries","Proposed / in discussion"
"333","Bangladesh","BGD",2004,95.18504,4.8149624,"Low-income countries","Proposed / in discussion"
"334","Bangladesh","BGD",2005,95.25223,4.7477746,"Low-income countries","Proposed / in discussion"
"335","Bangladesh","BGD",2006,95.39125,4.608753,"Low-income countries","Proposed / in discussion"
