Entity,Year,Code,Fossil_Fuels,Renewables,Income_Group,Target_Year,HasTarget,YearsToTarget,YearsToTarget_dec,Renewables_lag,YearsToTarget_dec_sq,Pred_Renewables
Argentina,1993,ARG,48.275524,11.552494,Upper-middle-income countries,2050,TRUE,57,5.7,9.639757,32.49,10.892455520160604
Argentina,1994,ARG,45.143917,12.563101,Upper-middle-income countries,2050,TRUE,56,5.6,11.552494,31.359999999999996,12.410120866749146
Argentina,1995,ARG,49.120033,11.829992,Upper-middle-income countries,2050,TRUE,55,5.5,12.563101,30.25,12.776029493729249
Argentina,1996,ARG,56.030098,9.646128,Upper-middle-income countries,2050,TRUE,54,5.4,11.829992,29.160000000000004,11.306944004713353
Argentina,1997,ARG,49.8554,11.7813425,Upper-middle-income countries,2050,TRUE,53,5.3,9.646128,28.09,10.626815786492802
Argentina,1998,ARG,53.7695,10.780106,Upper-middle-income countries,2050,TRUE,52,5.2,11.7813425,27.040000000000003,11.968307554463815
Argentina,1999,ARG,63.99072,8.606011,Upper-middle-income countries,2050,TRUE,51,5.1,10.780106,26.009999999999998,10.051800754783375
Argentina,2000,ARG,60.463024,11.556684,Upper-middle-income countries,2050,TRUE,50,5,8.606011,25,9.118236691712001
Argentina,2001,ARG,51.131573,15.036309,Upper-middle-income countries,2050,TRUE,49,4.9,11.556684,24.010000000000005,11.951793650324703
Argentina,2002,ARG,50.11231,15.334841,Upper-middle-income countries,2050,TRUE,48,4.8,15.036309,23.04,14.569613178488446
Argentina,2003,ARG,54.024113,13.613283,Upper-middle-income countries,2050,TRUE,47,4.7,15.334841,22.090000000000003,14.508236139642214
Argentina,2004,ARG,60.831837,11.464811,Upper-middle-income countries,2050,TRUE,46,4.6,13.613283,21.159999999999997,12.833360915261093
Argentina,2005,ARG,60.208035,12.031582,Upper-middle-income countries,2050,TRUE,45,4.5,11.464811,20.25,11.211556549919656
Argentina,2006,ARG,58.68818,12.677819,Upper-middle-income countries,2050,TRUE,44,4.4,12.031582,19.360000000000003,11.938150786172486
Argentina,2007,ARG,65.11628,10.023992,Upper-middle-income countries,2050,TRUE,43,4.3,12.677819,18.49,11.670567869333738
Argentina,2008,ARG,67.32015,9.871803,Upper-middle-income countries,2050,TRUE,42,4.2,10.023992,17.64,9.9239790426734409
Argentina,2009,ARG,64.00425,11.193401,Upper-middle-income countries,2050,TRUE,41,4.1,9.871803,16.81,10.419486536461655
Argentina,2010,ARG,66.68253,11.091996,Upper-middle-income countries,2050,TRUE,40,4,11.193401,16,11.102060436510952
Argentina,2011,ARG,69.87412,10.412118,Upper-middle-income countries,2050,TRUE,39,3.9,11.091996,15.209999999999999,10.295142183220712
Argentina,2012,ARG,72.51139,9.701297,Upper-middle-income countries,2050,TRUE,38,3.8,10.412118,14.44,9.989441822847475
Argentina,2013,ARG,70.61313,10.134094,Upper-middle-income countries,2050,TRUE,37,3.7,9.701297,13.690000000000001,9.982076572930893
Argentina,2014,ARG,71.091385,10.396154,High-income countries,2050,TRUE,36,3.6,10.134094,12.96,9.991819923492677
Argentina,2015,ARG,71.4826,10.275299,Upper-middle-income countries,2050,TRUE,35,3.5,10.396154,12.25,10.040704384124805
Argentina,2016,ARG,72.97867,9.586403,Upper-middle-income countries,2050,TRUE,34,3.4,10.275299,11.559999999999999,9.672348973476058
Argentina,2017,ARG,72.68731,10.4453335,High-income countries,2050,TRUE,33,3.3,9.586403,10.889999999999999,9.397056299263891
Argentina,2018,ARG,71.32443,10.823792,Upper-middle-income countries,2050,TRUE,32,3.2,10.4453335,10.240000000000002,10.332774167245036
Argentina,2019,ARG,69.02458,11.416995,Upper-middle-income countries,2050,TRUE,31,3.1,10.823792,9.610000000000001,10.58529232822965
Argentina,2020,ARG,67.76134,11.833357,Upper-middle-income countries,2050,TRUE,30,3,11.416995,9,12.470450070191703
Argentina,2021,ARG,69.17402,10.9474535,Upper-middle-income countries,2050,TRUE,29,2.9,11.833357,8.41,11.461794068199866
Argentina,2022,ARG,65.876945,12.009511,Upper-middle-income countries,2050,TRUE,28,2.8,10.9474535,7.839999999999999,11.16311723398159
Argentina,2023,ARG,59.782833,14.100092,Upper-middle-income countries,2050,TRUE,27,2.7,12.009511,7.290000000000001,13.259087438194104
Argentina,2024,ARG,61.102055,14.8029785,Upper-middle-income countries,2050,TRUE,26,2.6,14.100092,6.760000000000001,14.320852097173741
Australia,1986,AUS,85.03401,4.4399962,,2050,TRUE,64,6.4,4.492084,40.96000000000001,
Australia,1987,AUS,86.246735,4.2012877,High-income countries,2050,TRUE,63,6.3,4.4399962,39.69,4.107474290351512
Australia,1988,AUS,85.901215,4.301873,High-income countries,2050,TRUE,62,6.2,4.2012877,38.440000000000005,4.172543666266434
Australia,1989,AUS,86.97708,4.101315,High-income countries,2050,TRUE,61,6.1,4.301873,37.209999999999994,3.8237653543461043
Australia,1990,AUS,89.5595,4.137041,High-income countries,2050,TRUE,60,6,4.101315,36,3.9209318118188383
Australia,1991,AUS,89.45297,4.3940225,High-income countries,2050,TRUE,59,5.9,4.137041,34.81,3.824632344483092
Australia,1992,AUS,89.440796,4.3885193,High-income countries,2050,TRUE,58,5.8,4.3940225,33.64,4.08724750584904
Australia,1993,AUS,89.425964,4.406949,High-income countries,2050,TRUE,57,5.7,4.3885193,32.49,4.215833205349765
Australia,1994,AUS,89.91234,4.1957083,High-income countries,2050,TRUE,56,5.6,4.406949,31.359999999999996,4.016285344677922
Australia,1995,AUS,90.39024,4.001723,High-income countries,2050,TRUE,55,5.5,4.1957083,30.25,3.847588919913523
Australia,1996,AUS,90.41199,3.9997537,High-income countries,2050,TRUE,54,5.4,4.001723,29.160000000000004,3.442871976012211
Australia,1997,AUS,90.83093,3.9143484,High-income countries,2050,TRUE,53,5.3,3.9997537,28.09,3.6833351995479244
Australia,1998,AUS,91.33579,3.8129077,High-income countries,2050,TRUE,52,5.2,3.9143484,27.040000000000003,3.7635113873764796
Australia,1999,AUS,91.36847,3.7857795,High-income countries,2050,TRUE,51,5.1,3.8129077,26.009999999999998,3.4949098306564252
Australia,2000,AUS,91.91071,3.7645082,High-income countries,2050,TRUE,50,5,3.7857795,25,3.704798411027353
Australia,2001,AUS,92.30358,3.655366,High-income countries,2050,TRUE,49,4.9,3.7645082,24.010000000000005,3.4464969379229977
Australia,2002,AUS,91.968315,3.7108545,High-income countries,2050,TRUE,48,4.8,3.655366,23.04,3.4173214184944642
Australia,2003,AUS,91.74153,3.7965071,High-income countries,2050,TRUE,47,4.7,3.7108545,22.090000000000003,3.5878739438356853
Australia,2004,AUS,91.545616,3.8290668,High-income countries,2050,TRUE,46,4.6,3.7965071,21.159999999999997,3.9002636979534895
Australia,2005,AUS,91.020195,4.095098,High-income countries,2050,TRUE,45,4.5,3.8290668,20.25,3.8366291134075023
Australia,2006,AUS,91.11727,4.023526,High-income countries,2050,TRUE,44,4.4,4.095098,19.360000000000003,4.188163055897365
Australia,2007,AUS,91.656720000000007,3.7864707,High-income countries,2050,TRUE,43,4.3,4.023526,18.49,3.9831784483536126
Australia,2008,AUS,92.208,3.499129,High-income countries,2050,TRUE,42,4.2,3.7864707,17.64,4.136264887689167
Australia,2009,AUS,91.93278,3.7221737,High-income countries,2050,TRUE,41,4.1,3.499129,16.81,4.2358523607281064
Australia,2010,AUS,91.17026,4.0876446,High-income countries,2050,TRUE,40,4,3.7221737,16,4.46681001032935
Australia,2011,AUS,88.05603,5.3919606,High-income countries,2050,TRUE,39,3.9,4.0876446,15.209999999999999,4.615091220865329
Australia,2012,AUS,87.92388,5.399917,High-income countries,2050,TRUE,38,3.8,5.3919606,14.44,6.007842688988526
Australia,2013,AUS,85.76294,6.1726875,High-income countries,2050,TRUE,37,3.7,5.399917,13.690000000000001,6.542981041860058
Australia,2014,AUS,86.77165,5.6627235,High-income countries,2050,TRUE,36,3.6,6.1726875,12.96,6.590138463816997
Australia,2015,AUS,85.90495,5.9553065,High-income countries,2050,TRUE,35,3.5,5.6627235,12.25,6.3625064108715845
Australia,2016,AUS,83.83611,6.7850986,High-income countries,2050,TRUE,34,3.4,5.9553065,11.559999999999999,6.6416254252082725
Australia,2017,AUS,84.866974,6.3734684,High-income countries,2050,TRUE,33,3.3,6.7850986,10.889999999999999,7.17327057490162
Australia,2018,AUS,81.156,7.847639,High-income countries,2050,TRUE,32,3.2,6.3734684,10.240000000000002,7.581215190238076
Australia,2019,AUS,79.21775,8.40721,High-income countries,2050,TRUE,31,3.1,7.847639,9.610000000000001,8.58585742672425
Australia,2020,AUS,75.75712,10.29223,High-income countries,2050,TRUE,30,3,8.40721,9,10.662745780263842
Australia,2021,AUS,71.10861,12.282586,High-income countries,2050,TRUE,29,2.9,10.29223,8.41,11.305384682401488
Australia,2022,AUS,67.9613,13.247022,High-income countries,2050,TRUE,28,2.8,12.282586,7.839999999999999,13.059593875743815
Australia,2023,AUS,65.12395,14.323447,High-income countries,2050,TRUE,27,2.7,13.247022,7.290000000000001,14.765392013741742
Australia,2024,AUS,64.51233,14.733206,High-income countries,2050,TRUE,26,2.6,14.323447,6.760000000000001,15.287846882086152
Austria,1991,AUT,34.908295,26.52839,High-income countries,2040,TRUE,49,4.9,27.76444,24.010000000000005,27.66256645665419
Austria,1992,AUT,27.520544,29.827892,High-income countries,2040,TRUE,48,4.8,26.52839,23.04,27.575244401334054
Austria,1993,AUT,25.842915,30.718403,High-income countries,2040,TRUE,47,4.7,29.827892,22.090000000000003,30.241649698661135
Austria,1994,AUT,28.970163,30.027718,High-income countries,2040,TRUE,46,4.6,30.718403,21.159999999999997,30.40815043001651
Austria,1995,AUT,29.3188,30.140165,High-income countries,2040,TRUE,45,4.5,30.027718,20.25,29.906140078178172
Austria,1996,AUT,33.040222,27.074467,High-income countries,2040,TRUE,44,4.4,30.140165,19.360000000000003,29.35682093479669
Austria,1997,AUT,31.96618,28.264048,High-income countries,2040,TRUE,43,4.3,27.074467,18.49,27.54024913063774
Austria,1998,AUT,30.078827,28.531652,High-income countries,2040,TRUE,42,4.2,28.264048,17.64,28.770633849367805
Austria,1999,AUT,29.085733,30.66756,High-income countries,2040,TRUE,41,4.1,28.531652,16.81,28.866743022317532
Austria,2000,AUT,27.16298,31.26769,High-income countries,2040,TRUE,40,4,30.66756,16,30.87236656732648
Austria,2001,AUT,30.731388,29.411423,High-income countries,2040,TRUE,39,3.9,31.26769,15.209999999999999,30.747377972358006
Austria,2002,AUT,30.892296,28.923092,High-income countries,2040,TRUE,38,3.8,29.411423,14.44,29.412162512735506
Austria,2003,AUT,39.209934,24.120514,High-income countries,2040,TRUE,37,3.7,28.923092,13.690000000000001,28.35088227521553
Austria,2004,AUT,35.941795,26.119173,High-income countries,2040,TRUE,36,3.6,24.120514,12.96,25.44986268621188
Austria,2005,AUT,36.492153,26.316614,High-income countries,2040,TRUE,35,3.5,26.119173,12.25,26.692492329674742
Austria,2006,AUT,34.64073,26.989784,High-income countries,2040,TRUE,34,3.4,26.316614,11.559999999999999,27.184806091109614
Austria,2007,AUT,31.290783,29.094082,High-income countries,2040,TRUE,33,3.3,26.989784,10.889999999999999,27.895970972112075
Austria,2008,AUT,30.832558,29.577007,High-income countries,2040,TRUE,32,3.2,29.094082,10.240000000000002,29.82996516687117
Austria,2009,AUT,28.741884,32.5476,High-income countries,2040,TRUE,31,3.1,29.577007,9.610000000000001,30.660273000446583
Austria,2010,AUT,33.662636,30.113115,High-income countries,2040,TRUE,30,3,32.5476,9,32.30652573897967
Austria,2011,AUT,34.2283,29.15819,High-income countries,2040,TRUE,29,2.9,30.113115,8.41,30.079118512045206
Austria,2012,AUT,25.229424,34.49825,High-income countries,2040,TRUE,28,2.8,29.15819,7.839999999999999,30.717656979929323
Austria,2013,AUT,21.766071,34.02354,High-income countries,2040,TRUE,27,2.7,34.49825,7.290000000000001,35.21238624385792
Austria,2014,AUT,18.440292,35.016697,High-income countries,2040,TRUE,26,2.6,34.02354,6.760000000000001,34.787315487515855
Austria,2015,AUT,22.968597,33.051586,High-income countries,2040,TRUE,25,2.5,35.016697,6.25,35.10874499651861
Austria,2016,AUT,21.2579,34.026432,High-income countries,2040,TRUE,24,2.4,33.051586,5.76,33.728363299755955
Austria,2017,AUT,23.908186,33.21268,High-income countries,2040,TRUE,23,2.3,34.026432,5.289999999999999,34.20379654252413
Austria,2018,AUT,22.59162,33.13921,High-income countries,2040,TRUE,22,2.2,33.21268,4.840000000000001,34.08604446586542
Austria,2019,AUT,22.704765,34.18949,High-income countries,2040,TRUE,21,2.1,33.13921,4.41,33.775236063865634
Austria,2020,AUT,19.727694,36.879936,High-income countries,2040,TRUE,20,2,34.18949,4,36.155992428579104
Austria,2021,AUT,20.850174,34.638123,High-income countries,2040,TRUE,19,1.9,36.879936,3.61,36.80921148042647
Austria,2022,AUT,21.841574,35.134083,High-income countries,2040,TRUE,18,1.8,34.638123,3.24,35.113103270675445
Austria,2023,AUT,15.286804,40.022125,High-income countries,2040,TRUE,17,1.7,35.134083,2.8899999999999997,36.846030412973406
Austria,2024,AUT,13.279858,43.347355,High-income countries,2040,TRUE,16,1.6,40.022125,2.5600000000000005,40.24420250046235
Azerbaijan,2001,AZE,93.196205,2.8298752,Low-income countries,2030,TRUE,29,2.9,3.2334957,8.41,2.8258353599743327
Azerbaijan,2002,AZE,89.293365,4.4186716,Low-income countries,2030,TRUE,28,2.8,2.8298752,7.839999999999999,2.9327781349308175
Azerbaijan,2003,AZE,88.52305,4.963229,Lower-middle-income countries,2030,TRUE,27,2.7,4.4186716,7.290000000000001,3.9332626160684265
Azerbaijan,2004,AZE,87.43094,4.8662996,Lower-middle-income countries,2030,TRUE,26,2.6,4.963229,6.760000000000001,4.6608613680985265
Azerbaijan,2005,AZE,86.95271,4.8642797,Lower-middle-income countries,2030,TRUE,25,2.5,4.8662996,6.25,4.496774833890457
Azerbaijan,2006,AZE,89.84088,4.113798,Lower-middle-income countries,2030,TRUE,24,2.4,4.8642797,5.76,4.378646084301193
Azerbaijan,2007,AZE,89.275894,4.172744,Lower-middle-income countries,2030,TRUE,23,2.3,4.113798,5.289999999999999,3.7914124990126457
Azerbaijan,2008,AZE,89.77798,3.9057946,Lower-middle-income countries,2030,TRUE,22,2.2,4.172744,4.840000000000001,4.159381505541014
Azerbaijan,2009,AZE,87.851456,4.6727557,Upper-middle-income countries,2030,TRUE,21,2.1,3.9057946,4.41,4.102211627195795
Azerbaijan,2010,AZE,81.735405,7.0208406,Upper-middle-income countries,2030,TRUE,20,2,4.6727557,4,5.247449341237251
Azerbaijan,2011,AZE,86.92649,4.771241,Upper-middle-income countries,2030,TRUE,19,1.9,7.0208406,3.61,6.002154373628304
Azerbaijan,2012,AZE,92.1637,3.13323,Upper-middle-income countries,2030,TRUE,18,1.8,4.771241,3.24,4.309866628165486
Azerbaijan,2013,AZE,93.29032,2.6123571,Upper-middle-income countries,2030,TRUE,17,1.7,3.13323,2.8899999999999997,3.336045375379956
Azerbaijan,2014,AZE,94.43768,2.2877438,Upper-middle-income countries,2030,TRUE,16,1.6,2.6123571,2.5600000000000005,2.4369112276447416
Azerbaijan,2015,AZE,93.0403,2.5956335,Upper-middle-income countries,2030,TRUE,15,1.5,2.2877438,2.25,2.3919294158905657
Azerbaijan,2016,AZE,91.58954,3.1447477,Upper-middle-income countries,2030,TRUE,14,1.4,2.5956335,1.9599999999999997,2.618589718564426
Azerbaijan,2017,AZE,92.23782,2.8683722,Upper-middle-income countries,2030,TRUE,13,1.3,3.1447477,1.6900000000000002,2.9833287544657265
Azerbaijan,2018,AZE,92.24036,2.8174486,Upper-middle-income countries,2030,TRUE,12,1.2,2.8683722,1.44,3.120894056617068
Azerbaijan,2019,AZE,93.10212,2.4512126,Upper-middle-income countries,2030,TRUE,11,1.1,2.8174486,1.2100000000000002,2.751371248262692
Azerbaijan,2020,AZE,94.87379,1.7904454,Upper-middle-income countries,2030,TRUE,10,1,2.4512126,1,3.645905260080071
Azerbaijan,2021,AZE,94.5304,1.9303348,Upper-middle-income countries,2030,TRUE,9,0.9,1.7904454,0.81,2.032766910496333
Azerbaijan,2022,AZE,93.64202,2.1882486,Upper-middle-income countries,2030,TRUE,8,0.8,1.9303348,0.6400000000000001,2.2320812766871514
Azerbaijan,2023,AZE,93.468544,2.2942455,Upper-middle-income countries,2030,TRUE,7,0.7,2.1882486,0.48999999999999994,3.165521676024669
Azerbaijan,2024,AZE,88.042366,4.303142,Upper-middle-income countries,2030,TRUE,6,0.6,2.2942455,0.36,3.4607115078422828
Bangladesh,2001,BGD,94.361336,1.8306202,Low-income countries,2050,TRUE,49,4.9,1.6248266,24.010000000000005,1.0288640508378855
Bangladesh,2002,BGD,94.4591,1.4535722,Low-income countries,2050,TRUE,48,4.8,1.8306202,23.04,1.1835326270718216
Bangladesh,2003,BGD,94.41954,1.3526305,Low-income countries,2050,TRUE,47,4.7,1.4535722,22.090000000000003,1.024759955826534
Bangladesh,2004,BGD,95.18504,1.2325705,Low-income countries,2050,TRUE,46,4.6,1.3526305,21.159999999999997,1.1085514509919658
Bangladesh,2005,BGD,95.25223,1.1229804,Low-income countries,2050,TRUE,45,4.5,1.2325705,20.25,0.876978424168918
Bangladesh,2006,BGD,95.39125,1.0508331,Low-income countries,2050,TRUE,44,4.4,1.1229804,19.360000000000003,0.9543753535087873
Bangladesh,2007,BGD,97.54759,1.0368377,Low-income countries,2050,TRUE,43,4.3,1.0508331,18.49,0.5901078641962023
Bangladesh,2008,BGD,97.19544,1.2242036,Low-income countries,2050,TRUE,42,4.2,1.0368377,17.64,0.992308604628537
Bangladesh,2009,BGD,98.73757,0.5131713,Low-income countries,2050,TRUE,41,4.1,1.2242036,16.81,1.2545742537533364
Bangladesh,2010,BGD,97.968666,0.8342272,Low-income countries,2050,TRUE,40,4,0.5131713,16,0.8146972003209587
Bangladesh,2011,BGD,97.783806,0.99530375,Low-income countries,2050,TRUE,39,3.9,0.8342272,15.209999999999999,0.6432221435232961
Bangladesh,2012,BGD,98.12834,0.84601665,Low-income countries,2050,TRUE,38,3.8,0.99530375,14.44,1.1673179364100612
Bangladesh,2013,BGD,97.994,0.8128067,Low-income countries,2050,TRUE,37,3.7,0.84601665,13.690000000000001,1.3902958392620466
Bangladesh,2014,BGD,98.60839,0.68606883,Lower-middle-income countries,2050,TRUE,36,3.6,0.8128067,12.96,0.5738569985536728
Bangladesh,2015,BGD,98.6507,0.7931762,Lower-middle-income countries,2050,TRUE,35,3.5,0.68606883,12.25,0.5323915544972557
Bangladesh,2016,BGD,98.205246,0.7402721,Lower-middle-income countries,2050,TRUE,34,3.4,0.7931762,11.559999999999999,0.5186736708842812
Bangladesh,2017,BGD,98.24371,0.8568776,Lower-middle-income countries,2050,TRUE,33,3.3,0.7402721,10.889999999999999,0.5133013448957051
Bangladesh,2018,BGD,98.2312,0.7081168,Lower-middle-income countries,2050,TRUE,32,3.2,0.8568776,10.240000000000002,0.9375719020001689
Bangladesh,2019,BGD,98.60181,0.6395678,Lower-middle-income countries,2050,TRUE,31,3.1,0.7081168,9.610000000000001,0.5487090434383486
Bangladesh,2020,BGD,98.53733,0.65289867,Lower-middle-income countries,2050,TRUE,30,3,0.6395678,9,1.840380352800663
Bangladesh,2021,BGD,98.58861,0.6705762,Lower-middle-income countries,2050,TRUE,29,2.9,0.65289867,8.41,0.6757709854976568
Bangladesh,2022,BGD,98.44499,0.6926618,Lower-middle-income countries,2050,TRUE,28,2.8,0.6705762,7.839999999999999,0.7167878382967512
Bangladesh,2023,BGD,98.37981,0.7899922,Lower-middle-income countries,2050,TRUE,27,2.7,0.6926618,7.290000000000001,1.472794016865084
Bangladesh,2024,BGD,97.971190000000007,1.0953214,Lower-middle-income countries,2050,TRUE,26,2.6,0.7899922,6.760000000000001,1.2714799877699736
Belarus,2001,BLR,99.88034,0.033429142,Lower-middle-income countries,2030,TRUE,29,2.9,0.029412428,8.41,-0.8709483813143208
Belarus,2002,BLR,99.88663,0.030978968,Lower-middle-income countries,2030,TRUE,28,2.8,0.033429142,7.839999999999999,-0.8550712013803903
Belarus,2003,BLR,99.88735,0.02997258,Lower-middle-income countries,2030,TRUE,27,2.7,0.030978968,7.290000000000001,-0.7512534997265305
Belarus,2004,BLR,99.90385,0.03233662,Lower-middle-income countries,2030,TRUE,26,2.6,0.02997258,6.760000000000001,-0.5247614061055348
Belarus,2005,BLR,99.870804,0.035009693,Lower-middle-income countries,2030,TRUE,25,2.5,0.03233662,6.25,-0.6612128240928978
Belarus,2006,BLR,99.87426,0.033930745,Lower-middle-income countries,2030,TRUE,24,2.4,0.035009693,5.76,-0.49252724100911216
Belarus,2007,BLR,99.84292,0.047331303,Upper-middle-income countries,2030,TRUE,23,2.3,0.033930745,5.289999999999999,-0.9244213417490972
Belarus,2008,BLR,99.800285,0.097415656,Upper-middle-income countries,2030,TRUE,22,2.2,0.047331303,4.840000000000001,-0.5356705429867326
Belarus,2009,BLR,99.6378,0.19278473,Upper-middle-income countries,2030,TRUE,21,2.1,0.097415656,4.41,-0.20733280135105403
Belarus,2010,BLR,99.59885,0.25240967,Upper-middle-income countries,2030,TRUE,20,2,0.19278473,4,-0.14198185584256073
Belarus,2011,BLR,99.56509,0.24433987,Upper-middle-income countries,2030,TRUE,19,1.9,0.25240967,3.61,-0.5189650643393815
Belarus,2012,BLR,99.318405,0.25738886,Upper-middle-income countries,2030,TRUE,18,1.8,0.24433987,3.24,-0.06110118053910618
Belarus,2013,BLR,99.04792,0.30522504,Upper-middle-income countries,2030,TRUE,17,1.7,0.25738886,2.8899999999999997,0.2892174177664675
Belarus,2014,BLR,99.16522,0.29525957,Upper-middle-income countries,2030,TRUE,16,1.6,0.30522504,2.5600000000000005,-0.09989007829340224
Belarus,2015,BLR,99.00264,0.3455565,Upper-middle-income countries,2030,TRUE,15,1.5,0.29525957,2.25,-0.04001370400206916
Belarus,2016,BLR,98.71909,0.4050693,Upper-middle-income countries,2030,TRUE,14,1.4,0.3455565,1.9599999999999997,-0.11320968013949262
Belarus,2017,BLR,97.73979,0.72615576,Upper-middle-income countries,2030,TRUE,13,1.3,0.4050693,1.6900000000000002,0.05949869747999692
Belarus,2018,BLR,97.92254,0.59601754,Upper-middle-income countries,2030,TRUE,12,1.2,0.72615576,1.44,0.6088432550555787
Belarus,2019,BLR,97.42956,0.7227649,Upper-middle-income countries,2030,TRUE,11,1.1,0.59601754,1.2100000000000002,0.3154884430101461
Belarus,2020,BLR,95.61494,0.94336146,Upper-middle-income countries,2030,TRUE,10,1,0.7227649,1,1.916778838746204
Belarus,2021,BLR,82.909096,1.1064148,Upper-middle-income countries,2030,TRUE,9,0.9,0.94336146,0.81,2.151896186125934
Belarus,2022,BLR,84.02367,1.1474723,Upper-middle-income countries,2030,TRUE,8,0.8,1.1064148,0.6400000000000001,2.1710594933869354
Belarus,2023,BLR,70.00918,1.0273277,Upper-middle-income countries,2030,TRUE,7,0.7,1.1474723,0.48999999999999994,4.308576813444845
Belarus,2024,BLR,60.38402,0.96882594,Upper-middle-income countries,2030,TRUE,6,0.6,1.0273277,0.36,4.853780304855515
Belgium,1991,BEL,39.03638,0.24876085,High-income countries,2050,TRUE,59,5.9,0.2649906,34.81,0.5432709856263007
Belgium,1992,BEL,38.280594,0.2827966,High-income countries,2050,TRUE,58,5.8,0.24876085,33.64,0.6825524546125563
Belgium,1993,BEL,39.440636,0.23757039,High-income countries,2050,TRUE,57,5.7,0.2827966,32.49,0.7241222059636008
Belgium,1994,BEL,42.206337,0.26485226,High-income countries,2050,TRUE,56,5.6,0.23757039,31.359999999999996,0.25485763012698026
